"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EJIR6TN2","webpage","2025","Europol","Money Laundering","Europol","","","","https://www.europol.europa.eu/crime-areas/economic-crime/money-laundering","European Union’s law enforcement agency","2025","2025-03-19 15:55:02","2026-01-25 22:11:58","2025-03-19 15:55:02","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\T470s\Zotero\storage\SFX86KU9\money-laundering.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LS5SJBL8","webpage","2025","United Nations","Overview","United Nations : Office on Drugs and Crime","","","","//www.unodc.org/unodc/en/money-laundering/overview.html","Overview","2025","2025-03-19 15:59:31","2026-01-25 22:12:20","2025-03-19 15:59:31","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\T470s\Zotero\storage\3ACBEA6S\overview.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57FR3MRW","preprint","2022","Jordon, James; Szpruch, Lukasz; Houssiau, Florimond; Bottarelli, Mirko; Cherubin, Giovanni; Maple, Carsten; Cohen, Samuel N.; Weller, Adrian","Synthetic Data -- what, why and how?","","","","10.48550/arXiv.2205.03257","http://arxiv.org/abs/2205.03257","This explainer document aims to provide an overview of the current state of the rapidly expanding work on synthetic data technologies, with a particular focus on privacy. The article is intended for a non-technical audience, though some formal definitions have been given to provide clarity to specialists. This article is intended to enable the reader to quickly become familiar with the notion of synthetic data, as well as understand some of the subtle intricacies that come with it. We do believe that synthetic data is a very useful tool, and our hope is that this report highlights that, while drawing attention to nuances that can easily be overlooked in its deployment.","2022-05-06","2025-05-03 13:53:04","2025-05-03 13:53:04","2025-05-03 13:53:04","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2205.03257 [cs]","","C:\Users\T470s\Zotero\storage\3CFLWYZA\Jordon et al. - 2022 - Synthetic Data -- what, why and how.pdf; C:\Users\T470s\Zotero\storage\ZXLF99LZ\2205.html","","","Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2205.03257","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FNZPZQQQ","webpage","2024","FCA","Report: Using Synthetic Data in Financial Services","FCA","","","","https://www.fca.org.uk/publications/corporate-documents/report-using-synthetic-data-financial-services","The report provides an overview of the opportunities and risks with synthetic data, to contribute to beneficial and responsible innovation in financial services.","2024-03-07","2025-05-03 19:50:26","2025-05-03 19:51:57","2025-05-03 19:50:26","","","","","","","Report","","","","","","","en-GB","","","","","","","","","C:\Users\T470s\Zotero\storage\RAS8ACT8\report-using-synthetic-data-financial-services.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CFKA93E7","journalArticle","2025","Becerra-Suarez, Fray L.; Alvarez-Vasquez, Halyn; Forero, Manuel G.","Improvement of Bank Fraud Detection Through Synthetic Data Generation with Gaussian Noise","Technologies (Basel)","","2227-7080","10.3390/technologies13040141","","Bank fraud detection faces critical challenges in imbalanced datasets, where fraudulent transactions are rare, severely impairing model generalization. This study proposes a Gaussian noise-based augmentation method to address class imbalance, contrasting it with SMOTE and ADASYN. By injecting controlled perturbations into the minority class, our approach mitigates overfitting risks inherent in interpolation-based techniques. Five classifiers, including XGBoost and a convolutional neural network (CNN), were evaluated on augmented datasets. XGBoost achieved superior performance with Gaussian noise-augmented data (accuracy: 0.999507, AUC: 0.999506), outperforming SMOTE and ADASYN. These results underscore Gaussian noise’s efficacy in enhancing fraud detection accuracy, offering a robust alternative to conventional oversampling methods. Our findings emphasize the pivotal role of augmentation strategies in optimizing classifier performance for imbalanced financial data.","2025","2025-05-03 20:08:58","2025-05-03 20:08:58","","141-","","4","13","","","","","","","","MDPI AG","","eng","","","","","uwe.primo.exlibrisgroup.com","","Place: Basel","","","","","Machine learning; Financial institutions; Algorithms; Bank fraud; Data integrity; Data processing; Neural networks (Computer science); Random noise theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D8RPK9RP","webpage","2025","Syntheticus","Synthetic Data 101: What is it, how it works, and what it's used for","","","","","https://syntheticus.ai/guide-everything-you-need-to-know-about-synthetic-data","Discover everything you need to know about synthetic data in our complete guide. Learn about synthetic data types, use cases, and much more.","2025","2025-05-03 20:42:15","2025-05-03 21:30:50","2025-05-03 20:42:15","","","","","","","Synthetic Data 101","","","","","","","en","","","","","","","","","C:\Users\T470s\Zotero\storage\LLT9WE5T\guide-everything-you-need-to-know-about-synthetic-data.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KTDSWSDS","journalArticle","2024","Cristofaro, Emiliano De","Synthetic Data: Methods, Use Cases, and Risks","IEEE Security & Privacy","","1540-7993","10.1109/MSEC.2024.3371505","https://www.computer.org/csdl/magazine/sp/2024/03/10466792/1VfF7fE3PXy","Sharing data can endanger the privacy of users and organizations. In this article, I provide an introduction to synthetic data and discuss its use cases, the privacy challenges that are still unaddressed, and its inherent limitations as an effective privacy-enhancing technology.","2024-05-01","2025-05-05 09:55:47","2025-05-05 09:55:47","2025-05-05 09:55:47","62-67","","03","22","","","Synthetic Data","","","","","IEEE Computer Society","","English","","","","","www.computer.org","","","","C:\Users\T470s\Zotero\storage\NQ9AIS77\Cristofaro - 2024 - Synthetic Data Methods, Use Cases, and Risks.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y7UXVCA7","webpage","2024","Vasudeva, Maiya; Seemant, Singh; Aarti, Kapur","Synthetic data generation whitepaper","Tiger Analytics","","","","https://www.tigeranalytics.com/wp-content/uploads/2024/08/synthetic-data-generation-whitepaper.pdf","Find out how we help you solve business problems using data analytics and AI/ML-led services to integrate systems and generate value at scale.","2024","2025-05-09 08:48:25","2025-05-09 08:54:19","2025-05-09 08:48:25","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\T470s\Zotero\storage\W8QZZCZ6\services.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6VCSWAGL","journalArticle","2025","Davies, Alex O.; Ajmeri, Nirav S.; Filho, Telmo De Menezes E. Silva","A Comparative Study of GNNs and Rule-Based Methods for Synthetic Social Network Generation","IEEE Access","","2169-3536","10.1109/ACCESS.2025.3541091","https://ieeexplore.ieee.org/document/10879487","Social network data, and web-graph data in general, sees great amounts of research and is widely used commercially. Due to privacy or other concerns it often cannot be shared verbatim. Synthetic counterparts to such data allow easier and safer sharing. Models currently applied to producing such synthetic data are typically rule-based, and though efficient, struggle to express complex topological characteristics. Graph Neural Network (GNN) models, in other domains such as molecules and proteins, trade-off efficiency for expressive abilities in generating graph structures. We compare GNNs and rule-based models for synthetic social networks and web-graphs from Facebook, Twitch, GitHub and Deezer. As a necessary data-processing step we propose and demonstrate a sampling procedure to construct network datasets from using datasets from single large networks. With structural and social network specific measurements, we evaluate how realistically synthetic networks behave in typical social network analysis applications. We find that the Gated Recurrent Attention Network (GRAN), an archetypal GNN model, extends well to social networks. In comparison to popular rule-based methods, R-MAT (Recursive-MATrix) and BTER (Block Two-level Erdos-Renyi), GRAN is better able to produce a variety of social networks and web-graphs.","2025","2025-05-09 13:35:11","2025-05-09 13:35:11","2025-05-09 13:35:11","32198-32210","","","13","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\T470s\Zotero\storage\MNHGZZSH\Davies et al. - 2025 - A Comparative Study of GNNs and Rule-Based Methods.pdf","","","deep learning; Graph neural network; Security; Graph neural networks; Social networking (online); Privacy; Synthetic data; Adaptation models; social networks; synthetic data; Topology; Data models; generative model; Network topology; Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PNCWV53I","preprint","2025","Lu, Yingzhou; Chen, Lulu; Zhang, Yuanyuan; Shen, Minjie; Wang, Huazheng; Wang, Xiao; Rechem, Capucine van; Fu, Tianfan; Wei, Wenqi","Machine Learning for Synthetic Data Generation: A Review","","","","10.48550/arXiv.2302.04062","http://arxiv.org/abs/2302.04062","Machine learning heavily relies on data, but real-world applications often encounter various data-related issues. These include data of poor quality, insufficient data points leading to under-fitting of machine learning models, and difficulties in data access due to concerns surrounding privacy, safety, and regulations. In light of these challenges, the concept of synthetic data generation emerges as a promising alternative that allows for data sharing and utilization in ways that real-world data cannot facilitate. This paper presents a comprehensive systematic review of existing studies that employ machine learning models for the purpose of generating synthetic data. The review encompasses various perspectives, starting with the applications of synthetic data generation, spanning computer vision, speech, natural language processing, healthcare, and business domains. Additionally, it explores different machine learning methods, with particular emphasis on neural network architectures and deep generative models. The paper also addresses the crucial aspects of privacy and fairness concerns related to synthetic data generation. Furthermore, this study identifies the challenges and opportunities prevalent in this emerging field, shedding light on the potential avenues for future research. By delving into the intricacies of synthetic data generation, this paper aims to contribute to the advancement of knowledge and inspire further exploration in synthetic data generation.","2025-04-04","2025-05-09 13:38:34","2025-05-09 13:38:34","2025-05-09 13:38:34","","","","","","","Machine Learning for Synthetic Data Generation","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2302.04062 [cs]","","C:\Users\T470s\Zotero\storage\RZ6L4M6G\Lu et al. - 2025 - Machine Learning for Synthetic Data Generation A .pdf; C:\Users\T470s\Zotero\storage\9WELF8WN\2302.html","","","Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2302.04062","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARBD9VPD","webpage","2024","Pokotylo, Paul","Overview of Synthetic Data Generation Methods","Keymakr","","","","https://keymakr.com/blog/overview-of-synthetic-data-generation-methods/","Explore cutting-edge synthetic data techniques to generate high-quality artificial datasets. Learn how these methods enhance data scarcity issues","2024-10-21","2025-05-09 13:47:25","2025-05-09 13:48:22","2025-05-09 13:47:25","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\T470s\Zotero\storage\SA54HCMM\overview-of-synthetic-data-generation-methods.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KGPMZZ6G","journalArticle","2024","Gupta, Priyanka; Ding, Bosheng; Guan, Chong; Ding, Ding","Generative AI: A systematic review using topic modelling techniques","Data and Information Management","","2543-9251","10.1016/j.dim.2024.100066","https://www.sciencedirect.com/science/article/pii/S2543925124000020","Generative artificial intelligence (GAI) is a rapidly growing field with a wide range of applications. In this paper, a thorough examination of the research landscape in GAI is presented, encompassing a comprehensive overview of the prevailing themes and topics within the field. The study analyzes a corpus of 1319 records from Scopus spanning from 1985 to 2023 and comprises journal articles, books, book chapters, conference papers, and selected working papers. The analysis revealed seven distinct clusters of topics in GAI research: image processing and content analysis, content generation, emerging use cases, engineering, cognitive inference and planning, data privacy and security, and Generative Pre-Trained Transformer (GPT) academic applications. The paper discusses the findings of the analysis and identifies some of the key challenges and opportunities in GAI research. The paper concludes by calling for further research in GAI, particularly in the areas of explainability, robustness, cross-modal and multi-modal generation, and interactive co-creation. The paper also highlights the importance of addressing the challenges of data privacy and security in GAI and responsible use of GAI.","2024-06-01","2025-05-09 15:54:28","2025-05-09 15:54:28","2025-05-09 15:54:28","100066","","2","8","","Data and Information Management","Generative AI","Systematic Review and Meta-analysis in Information Management Research - Part II","","","","","","","","","","","ScienceDirect","","","","C:\Users\T470s\Zotero\storage\78FIGHV8\S2543925124000020.html","","","ChatGPT; Generative artificial intelligence; Use cases; BERTopic; Systemic review; Topic modeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KM795BN9","conferencePaper","2024","Museba, Tinofirei","Machine Learning Approach for Detecting Money Laundering Transactions","2024 4th International Multidisciplinary Information Technology and Engineering Conference (IMITEC)","","","10.1109/IMITEC60221.2024.10851112","https://ieeexplore.ieee.org/document/10851112/","Money laundering is a widespread criminal activity that presents difficult detection and prevention concerns. Machine learning algorithms have grown into effective tools in the past few decades to help in the detection of money laundering activities. The purpose of this paper is to apply ensemble methods, XGBoost and Linear Regression, to the detection of money-laundering-related suspicious financial activities. To increase overall forecast accuracy, ensemble methods integrate the predictions of various models. A complex gradient-boosting technique called XGBoost has demonstrated promising results in several applications, including the detection of money laundering. Further research is necessary to determine its precise advantages over other ensemble techniques in money laundering detection. With the use of feature engineering and model interpretability, traditional algorithms like linear regression have also been employed to find instances of money laundering. They may, however, be less efficient in detecting complicated patterns and nonlinear correlations associated with sophisticated money laundering operations. This paper intends to fill in these gaps by comparing the performance and effectiveness of XGBoost and Linear Regression in detecting suspicious financial transactions. To train the models, a Synthetic Financial dataset of classified suspicious and non-suspicious transactions will be compiled. Following that, the models will be tested using a variety of performance metrics such as accuracy, precision, recall, F1 score, and AUC-ROC. The findings of this study will shed light on the advantages and disadvantages of ensemble approaches and traditional algorithms in the identification of money laundering. This study fosters an improved understanding of the best ways for detecting abnormal financial transactions, thereby supporting financial institutions and law enforcement authorities in their efforts to successfully combat money laundering.","2024-11","2025-07-31 13:50:29","2025-07-31 13:50:29","2025-07-31 13:50:29","390-399","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\T470s\Zotero\storage\MDK96Q5B\Museba - 2024 - Machine Learning Approach for Detecting Money Laun.pdf","","","machine learning; Ensemble learning; money laundering; Machine learning algorithms; Information technology; Predictive models; ensemble learning; Accuracy; Linear regression; Prediction algorithms; Law enforcement; linear regression; Measurement; Prevention and mitigation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 4th International Multidisciplinary Information Technology and Engineering Conference (IMITEC)","","","","","","","","","","","","","","",""
"X9NIPQ8M","thesis","2024","Iddrisu, Mohammed Bashiru Hassan","COMPARATIVE ANALYSIS OF MACHINE LEARNING MODELS FOR FINANCIAL FRAUD DETECTION","","","","10.13140/RG.2.2.34227.13608","","This study explores and investigate the use of machine learning models for detecting financial fraud, comparing the effectiveness of Logistic Regression, Decision Tree, Random Forest and Gradient Boosting. Through evaluation metrics such as Precision, Recall, F1-Score and AUC-ROC, the study aims to identify the most suitable model for reliable and accurate fraud detection. The findings demonstrate that Gradient Boosting demonstrated the highest performance in fraud detection, particularly on imbalanced data, indicating its strength in identifying rare, complex patterns of fraudulent transactions. This study contributes to enhancing financial fraud detection and highlights the strengths of various machine learning algorithms in predictive analytics.","2024-12-03","2025-07-31 13:53:24","2025-07-31 13:53:24","","","","","","","","","","","","","","","","","","","","ResearchGate","","","","C:\Users\T470s\Zotero\storage\HHUA2ZZR\Iddrisu - 2024 - COMPARATIVE ANALYSIS OF MACHINE LEARNING MODELS FO.pdf; ","https://www.researchgate.net/publication/387485740_COMPARATIVE_ANALYSIS_OF_MACHINE_LEARNING_MODELS_FOR_FINANCIAL_FRAUD_DETECTION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YICVFP5Q","journalArticle","2019","Kang, Haimeng","Fraud Detection in Mobile Money Transactions Using Machine Learning","","","","","https://dr.lib.iastate.edu/handle/20.500.12876/16959","<p>This study explores an effective data mining system for fraud detection in mobile financial transactions. Attempting two broad-used supervised machine learning models, random forest and gradient boosting, the study aims to test and compare their applicability in the detection of fraudulent records. Both classification models were developed using a synthetic dataset of mobile money transactions, which was generated based on a sample of real transactions extracted from an international mobile money service company.</p>","2019-01-01","2025-07-31 13:54:47","2025-07-31 13:54:47","2025-07-31 13:54:47","","","","","","","","","","","","","","en","","","","","dr.lib.iastate.edu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JCTKRHLE","journalArticle","2022","Alotibi, Johrha; Almutanni, Badriah; Alsubait, Tahani; Alhakami, Hosam; Baz, Abdullah","Money Laundering Detection using Machine Learning and Deep Learning","International Journal of Advanced Computer Science and Applications","","","10.14569/IJACSA.2022.0131087","","","2022-01-01","2025-08-07 13:42:11","2025-08-07 13:42:11","","","","","13","","International Journal of Advanced Computer Science and Applications","","","","","","","","","","","","","ResearchGate","","","","C:\Users\T470s\Zotero\storage\PYXTKP8K\Alotibi et al. - 2022 - Money Laundering Detection using Machine Learning .pdf; ","https://www.researchgate.net/publication/365119147_Money_Laundering_Detection_using_Machine_Learning_and_Deep_Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XAWLWHWF","journalArticle","2025","Venčkauskas, Algimantas; Grigaliūnas, Šarūnas; Pocius, Linas; Brūzgienė, Rasa; Romanovs, Andrejs","Machine Learning in Money Laundering Detection Over Blockchain Technology","IEEE Access","","2169-3536","10.1109/ACCESS.2024.3452003","https://ieeexplore.ieee.org/document/10658980","Layering through cryptocurrency transactions represents a sophisticated mechanism for laundering money within cybercrime circles. This process methodically merges illegal funds into the legitimate financial system. Blockchain technology plays a crucial role in this integration by facilitating the quick and automated dispersal of assets across various digital wallets and exchanges. Machine learning emerges as a powerful tool for analyzing and identifying illicit transactions within Blockchain networks; however, a significant challenge remains in the form of a gap in advanced pattern recognition algorithms. This paper introduces a novel machine learning-based approach called Value-driven-Transactional tracking Analytics for Crypto compliance (VTAC) for the detection of illegal crypto transactions via Blockchain. The approach combines machine learning algorithms with a pre-training process, normalization, model training, and a de-anonymization process to analyze and identify illicit transactions effectively. Experimental evaluations show VTAC’s capability to detect illegal transactions with a 97.5% accuracy using the XG Boost model, outperforming existing methods with an accuracy of up to 95.9%. Key performance metrics, including precision, recall, and F1-score, consistently exceeded 95%, highlighting VTAC’s enhanced precision and reliability. The proposed solution will serve as an advisory framework to help financial crime investigators enhance the detection and reporting of suspicious cryptocurrency transactions in cyberspace.","2025","2025-08-07 13:43:59","2025-08-07 13:43:59","2025-08-07 13:43:59","7555-7573","","","13","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\T470s\Zotero\storage\PNXWN4G6\Venčkauskas et al. - 2025 - Machine Learning in Money Laundering Detection Ove.pdf","","","Machine learning; Security; money laundering; Bitcoin; blockchain; Cryptocurrency; cryptocurrency; Computer crime; Accuracy; cybercrime; Dark Web; Financial management; Blockchains","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NCX8V98F","webpage","2024","Abayomi, Oluwaseun Japinye","(PDF) Integrating Machine Learning in Anti-Money Laundering through Crypto: A Comprehensive Performance Review","","","","","https://www.researchgate.net/publication/379439038_Integrating_Machine_Learning_in_Anti-Money_Laundering_through_Crypto_A_Comprehensive_Performance_Review","","2024","2025-08-07 14:46:57","2026-01-25 22:13:48","2025-08-07 14:46:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JNUJVXK8","journalArticle","1","Usman, Atif; Naveed, Nasir; Munawar, Saima","Intelligent Anti-Money Laundering Fraud Control Using Graph-Based Machine Learning Model for the Financial Domain","https://services.igi-global.com/resolvedoi/resolve.aspx?doi=10.4018/JCIT.316665","","1548-7717","","https://www.igi-global.com/article/intelligent-anti-money-laundering-fraud-control-using-graph-based-machine-learning-model-for-the-financial-domain/316665","","0001-01-01","2025-08-07 15:07:13","2025-08-07 15:07:13","2025-08-07 15:07:13","","","","","","","","","","","","IGI Global Scientific Publishing","","English","Access limited to members","","","","www.igi-global.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
